model,total_samples,sps,task,total_params,score.rouge.rouge1,score.sacreblue.score,score.sari.sari,score.em.exact_match,hardware,category,utilization.total_memory,utilization.memory_used,utilization.cuda_allocated,utilization.cuda_reserved,utilization.ram_usage
iliazlobin/bart-grammarly,100,24.55270801599522,fluency,406291456,0.9589655447744974,87.51824845694881,56.46073895963886,0.0,,,,,,,
iliazlobin/gpt2-large-bnb4bit-coedit,4,0.6377272646239105,,443728640,0.1,0.002833978806375,5.317339108989104,0.0,HomeDesktop (RTX3080),fluency,10736893952.0,4172677120.0,789039104.0,3036676096.0,16753934336.0
iliazlobin/gpt2-large-bnb4bit-coedit,4,0.4656754017498478,,443728640,0.3085553997194951,6.755395551763046,11.956021035537669,0.0,HomeDesktop (RTX3080),clarity,10736893952.0,4074037248.0,789039104.0,3036676096.0,16744656896.0
iliazlobin/gpt2-large-bnb4bit-coedit,4,0.5997397383964438,,443728640,0.4586160108548168,10.781409929237272,39.52177571621242,0.0,HomeDesktop (RTX3080),coherence,10736893952.0,4098744320.0,789039104.0,3036676096.0,16748765184.0
iliazlobin/gpt2-large-bnb4bit-coedit,10,0.8412971123075313,,443728640,0.2872100448026313,10.681401532556457,11.906272109952774,0.0,HomeDesktop (RTX3080),fluency,10736893952.0,4237041664.0,789037568.0,3036676096.0,17605406720.0
iliazlobin/gpt2-large-bnb4bit-coedit,10,0.8131677248777981,,443728640,0.4439068686208275,33.65080515230725,26.840911754284264,0.0,HomeDesktop (RTX3080),clarity,10736893952.0,4227473408.0,789037568.0,3036676096.0,17597571072.0
iliazlobin/gpt2-large-bnb4bit-coedit,10,0.9455831324885084,,443728640,0.4671097294699779,32.91881438280405,29.3657426789765,0.0,HomeDesktop (RTX3080),coherence,10736893952.0,4205387776.0,789037568.0,3036676096.0,17196277760.0
iliazlobin/gpt2-large-bnb4bit-coedit,10,0.8247413760947063,,443728640,0.42422309885257353,25.24792575861845,14.228726961829649,0.0,HomeDesktop (RTX3080),fluency,10736893952.0,4325888000.0,789037568.0,3036676096.0,17190219776.0
iliazlobin/gpt2-large-bnb4bit-coedit,10,0.8821406862780048,,443728640,0.7044986395300419,52.242270637753926,34.342356799399795,0.0,HomeDesktop (RTX3080),clarity,10736893952.0,4359049216.0,789037568.0,3036676096.0,17215336448.0
iliazlobin/gpt2-large-bnb4bit-coedit,10,1.0818681389118088,,443728640,0.5259657651944001,41.65480326350308,31.83103927604012,0.0,HomeDesktop (RTX3080),coherence,10736893952.0,4308979712.0,789037568.0,3036676096.0,17307279360.0
